repository,url,domain,focus,suggested_tier,discovery_score,relevance_score,activity_score,stars,forks,open_issues,language,license,created_at,pushed_at,archived,topics,matched_queries,reason,decision,discovered_at
meaadalrehaili/KAUST-Hackathon-in-Geoscience,https://github.com/meaadalrehaili/KAUST-Hackathon-in-Geoscience,Geothermal,"Multiphase flow in porous media governs the recovery of subsurface energy including hydrocarbon and geothermal, and their management usually requires intensive simulation runs to quantify subsurface uncertainties and optimize engineering op",Research,68.7,100,11.8,6,4,0,Jupyter Notebook,,2022-03-20T02:12:48Z,2022-03-21T10:22:56Z,False,,"reservoir modeling geoscience in:name,description,topics;geothermal subsurface in:name,description,topics;geoscience machine learning subsurface in:name,description,topics","relevance=100; activity=11.8; matched=geoscience, geothermal, reservoir, subsurface",review,2026-09-04T17:04:06.421401+00:00
ameyxd/petromcp,https://github.com/ameyxd/petromcp,Petrophysics / Data,"Local-first MCP server for petroleum data. Read LAS well logs from Claude, behind a default-deny path allowlist.",Emerging,67.7,87,42.5,2,0,0,Python,MIT,2026-05-08T15:03:29Z,2026-08-03T13:47:11Z,False,claude;lasio;mcp;mcp-server;model-context-protocol;oil-and-gas;petroleum;petrophysics;well-logs,"petrophysics well logs in:name,description,topics","relevance=87; activity=42.5; matched=petroleum, petrophysics, well log, well logs",review,2026-09-04T17:04:06.421401+00:00
1028lyt/Yale-UNC-CH---Geophysical-Waveform-Inversion,https://github.com/1028lyt/Yale-UNC-CH---Geophysical-Waveform-Inversion,Seismic / Processing,"Full Waveform Inversion (FWI) is the key to unlocking these secrets. This powerful technique, crucial for energy exploration, carbon storage, medical ultrasound, and advanced material testing, aims to build a detailed picture of the subsurf",Research,67.3,100,18.8,0,0,0,Jupyter Notebook,,2025-08-12T12:44:01Z,2025-08-12T12:50:59Z,False,,"full waveform inversion FWI seismic in:name,description,topics","relevance=100; activity=18.8; matched=carbon storage, fwi, seismic, subsurface",review,2026-09-04T17:04:06.421401+00:00
owenloh/SEGYScribe,https://github.com/owenloh/SEGYScribe,Seismic / Processing,"LLM-assisted SEG-Y parser that reads textual headers, infers trace-header byte layouts, and validates them against real trace data.",Emerging,67.2,87,40.6,2,0,0,Python,,2025-08-12T01:29:49Z,2026-06-28T15:26:12Z,False,data-parsing;exploration-geophysics;file-parser;geophysics;llm;oil-and-gas;seg-y;segy;seismic-data;seismic-processing;trace-header,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=40.6; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
Wzhang3912/opendtect-mcp,https://github.com/Wzhang3912/opendtect-mcp,Seismic / Processing,"MCP server for driving OpendTect headlessly — SEG-Y import, 3D horizon auto-tracking, ASCII export, and horizon-agreement scoring, for any survey.",Emerging,67.1,87,40.1,2,0,0,Python,MIT,2026-06-19T07:01:29Z,2026-06-20T17:02:48Z,False,geophysics;horizon-tracking;mcp;model-context-protocol;opendtect;segy;seismic,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=40.1; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
DavidLiu-code/SeisForge-Studio,https://github.com/DavidLiu-code/SeisForge-Studio,Seismic / Processing,"Native Windows SEG-Y visualization, reconstruction and enhancement studio",Emerging,67.0,87,42.5,1,0,0,Go,MIT,2026-09-04T12:58:23Z,2026-09-04T12:59:18Z,False,geophysics;golang;pseudo-3d;segy;seismic;visualization;windows,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=42.5; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
ewencai/ASCtoSEGY,https://github.com/ewencai/ASCtoSEGY,Seismic / Processing,SEG-Y seismic data processing library for MATLAB/Octave,Reference,66.2,87,39.5,1,0,0,MATLAB,LGPL-2.1,2026-03-29T06:28:14Z,2026-07-08T15:01:46Z,False,data-processing;geophysics;matlab;octave;seg-y;seismic,"seismic processing geophysics in:name,description,topics;segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=39.5; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
ewencai/segyml,https://github.com/ewencai/segyml,Seismic / Processing,Python SEG-Y seismic data I/O library with PyTorch integration,Reference,66.2,87,39.6,1,0,0,Python,GPL-2.0,2026-06-15T02:17:06Z,2026-07-09T00:48:18Z,False,data-processing;geophysics;numpy;python;pytorch;seg-y;segy;seismic,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=39.6; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
jairam25/Petrostream,https://github.com/jairam25/Petrostream,Petrophysics / Data,"High-fidelity petroleum engineering simulation platform — 30+ interactive modules spanning exploration to retail with real-time PVT, drilling, reservoir, refining & production analytics. Built with React, TypeScript & glassmorphic UI.",Reference,65.4,87,36.8,1,0,0,TypeScript,,2026-05-17T22:48:44Z,2026-05-19T07:31:36Z,False,decline-curve-analysis-well-testing;drilling-pvt-analysis;eor-production-optimization;oil-and-gas-simulation;petroleum-engineering;petrophysics-upstream-midstream-downstream;refining-react-typescript-vite;reservoir-engineering;tailwindcss-glassmorphism-engineering-education,"reservoir simulation petroleum in:name,description,topics;drilling petroleum engineering in:name,description,topics","relevance=87; activity=36.8; matched=drilling, petroleum, petrophysics, reservoir",review,2026-09-04T17:04:06.421401+00:00
q299264-cyber/borehole-vug-detection,https://github.com/q299264-cyber/borehole-vug-detection,Petrophysics / Data,"Automatic vug detection and quantification in ultrasonic borehole image logs, read directly from DLIS. All thresholds in millimetres and decibels, so a parameter set carries between wells.",Emerging,65.1,84,42.2,1,0,0,Python,,2026-08-26T18:08:48Z,2026-08-26T18:21:58Z,False,borehole-imaging;carbonate-reservoir;dlis;geoscience;image-processing;petrophysics;segmentation;well-logging,"petrophysics well logs in:name,description,topics","relevance=84; activity=42.2; matched=geoscience, petrophysics, reservoir",review,2026-09-04T17:04:06.421401+00:00
m0shiko8811-beep/SeisConv,https://github.com/m0shiko8811-beep/SeisConv,Seismic / Processing,"Desktop seismic toolkit: convert, view and QC SEG-Y / SEG-D / SEG-2 / SU, plus SPS survey geometry, positioning exports and GeoTIFF/Shapefile output. Offline, with the full EPSG registry built in.",Reference,65.1,87,39.8,0,0,0,TypeScript,AGPL-3.0,2026-06-23T17:56:28Z,2026-09-03T08:54:00Z,False,coordinate-conversion;desktop-app;electron;epsg;exploration-geophysics;geophysics;geotiff;gis;seg-2;segd;segy;seismic;seismic-data;seismic-processing;seismic-unix;shapefile;sps;typescript;vibroseis;wifi-sync,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=39.8; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
claramtd/agora-line001-poland,https://github.com/claramtd/agora-line001-poland,Seismic / Processing,"Implementation of the AGORA approach on 2D Vibroseis Seismic Data Line 001 - Poland, including SEG-Y to NPY preparation, FFID 231 extraction, and stage-by-stage seismic QC outputs.",Reference,65.0,87,35.3,1,0,0,Python,MIT,2026-04-22T03:39:24Z,2026-04-22T05:10:20Z,False,2d-seismic;agora;fk-filtering;geophysics;ground-roll;numpy;segy;seismic-data;seismic-processing;signal-processing;vibroseis,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=35.3; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
Kiranmayb/Well-Log-Facies-Classifier-V1.3,https://github.com/Kiranmayb/Well-Log-Facies-Classifier-V1.3,Petrophysics / Data,A complete machine learning pipeline for automated lithofacies classification from petrophysical well logs — a core problem in subsurface geology and petroleum engineering.,Reference,64.9,87,39.1,0,0,0,Python,GPL-3.0,2026-06-11T19:30:06Z,2026-08-18T20:33:12Z,False,,"petrophysics well logs in:name,description,topics","relevance=87; activity=39.1; matched=petroleum, subsurface, well log, well logs",review,2026-09-04T17:04:06.421401+00:00
zzzzswh/gathervis,https://github.com/zzzzswh/gathervis,Seismic / Processing,"Web-based seismic shot-gather viewer for remote GPU servers: lazy loading of huge files, SEG-Y import, cigvis-style 3-D volume slicing, geometry-linked browsing, Ormsby filters & AGC, windowed spectra & f-k, first-break picking.",Reference,64.8,87,38.8,0,0,0,Python,,2026-08-13T09:30:10Z,2026-08-13T09:40:06Z,False,bokeh;exploration-geophysics;full-waveform-inversion;geophysics;holoviz;plotly;python;scientific-visualization;segy;seismic;seismic-data;seismic-processing;seismology;viewer;visualization;web-app,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=38.8; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
rcw3712/VsPredict-Geoenergy,https://github.com/rcw3712/VsPredict-Geoenergy,Petrophysics / Data,"Leakage-free, reproducible cross-well Vs prediction from conventional well logs under severe covariate shift — companion code for our Geoenergy Science and Engineering submission.",Reference,64.5,87,37.8,0,0,0,MATLAB,NOASSERTION,2026-07-27T01:18:57Z,2026-07-27T03:59:27Z,False,cross-validation;geomechanics;geophysics;machine-learning;matlab;petrophysics;reproducibility;shear-wave-velocity;well-logs,"petrophysics well logs in:name,description,topics","relevance=87; activity=37.8; matched=geophysics, petrophysics, well log, well logs",review,2026-09-04T17:04:06.421401+00:00
rubensrudio/AI-Compress-Seismic-v1,https://github.com/rubensrudio/AI-Compress-Seismic-v1,Seismic / Processing,"AI-assisted SEG-Y seismic data compressor — Java codec pipeline + TensorFlow autoencoder, REST API, CLI, and Angular UI.",Reference,63.7,87,34.9,0,0,0,Java,Apache-2.0,2026-05-17T19:03:40Z,2026-06-03T22:03:29Z,False,angular;autoencoder;cli;data-compression;deep-learning;geophysics;java;lossless-compression;machine-learning;neural-compression;oil-and-gas;picocli;segy;seimic;signal-processing;spring-webflux;tensorflow;tensorflow-java,"segy SEG-Y geophysics in:name,description,topics","relevance=87; activity=34.9; matched=geophysics, seg-y, segy, seismic",review,2026-09-04T17:04:06.421401+00:00
fatiando/verde,https://github.com/fatiando/verde,Seismic / Processing,"Processing and gridding spatial data, machine-learning style",Reference,63.6,51,78.4,666,75,46,Python,BSD-3-Clause,2018-04-25T23:21:08Z,2026-08-04T17:47:38Z,False,earth-science;fatiando-a-terra;geophysics;geoscience;geospatial;interpolation;machine-learning;python;python3;scipy;scipy-stack,"geophysics machine learning in:name,description,topics","relevance=51; activity=78.4; matched=geophysics, geoscience",review,2026-09-04T17:04:06.421401+00:00
api-evangelist/zanskar,https://github.com/api-evangelist/zanskar,Geothermal,"Zanskar — independent third-party profile of a public API surface, by API Evangelist. Zanskar (Zanskar Geothermal & Minerals, Inc.) is a Salt Lake City-based geothermal energy company founded in 2021 by Carl Hoiland and Joel Edwards. It use",Reference,63.2,84,39.8,0,0,0,,,2026-08-02T17:44:47Z,2026-09-01T15:54:57Z,False,apis-json;artificial-intelligence;clean-energy;climate;company;data;energy;geothermal;planetary-health,"geothermal subsurface in:name,description,topics;geoscience machine learning subsurface in:name,description,topics","relevance=84; activity=39.8; matched=geoscience, geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
javacodekit/petropt,https://github.com/javacodekit/petropt,Drilling / Production,"MIT-licensed Python library for petroleum engineering and reservoir engineering with PVT correlations, IPR, decline curve analysis, petrophysics, rate transient analysis, drilling, production engineering, well testing, economics, and LAS we",Reference,63.1,87,32.8,0,0,0,,MIT,2026-05-01T12:24:59Z,2026-04-26T09:57:11Z,False,,"drilling petroleum engineering in:name,description,topics","relevance=87; activity=32.8; matched=drilling, petroleum, petrophysics, reservoir",review,2026-09-04T17:04:06.421401+00:00
Aijaz-cup/Petroleum-Engineering-Portfolio,https://github.com/Aijaz-cup/Petroleum-Engineering-Portfolio,Reservoir / Simulation,"Reservoir engineering projects in production analysis, forecasting, simulation, history matching and subsurface modelling.",Reference,62.9,84,38.8,0,0,0,Python,,2026-08-07T10:21:57Z,2026-08-14T13:44:22Z,False,,"reservoir simulation petroleum in:name,description,topics;history matching reservoir in:name,description,topics","relevance=84; activity=38.8; matched=petroleum, reservoir, subsurface",review,2026-09-04T17:04:06.421401+00:00
dannarba2-cloud/Narba_geoscience_codes,https://github.com/dannarba2-cloud/Narba_geoscience_codes,Seismic / Processing,"My geophysics playground – code, apps, and written ideas exploring seismic, potential fields, GIS, and machine learning with MATLAB, QGIS, ArcGIS, and AI.",Reference,62.9,84,38.7,0,0,0,Python,MIT,2026-08-11T15:29:23Z,2026-08-11T15:59:57Z,False,,"geophysics machine learning in:name,description,topics","relevance=84; activity=38.7; matched=geophysics, geoscience, seismic",review,2026-09-04T17:04:06.421401+00:00
jp-alves/ml_basalts_ccs,https://github.com/jp-alves/ml_basalts_ccs,Seismic / Processing,"Repository of scripts used to produce the results of the research paper: ""Application of machine learning methods to forecast petrophysical properties in basalts of the Serra Geral Group: Implications for carbon storage""",Research,62.1,87,29.3,0,1,0,Jupyter Notebook,MIT,2024-09-18T17:09:28Z,2026-01-19T18:59:44Z,False,basalt;carbon-capture-sequestration;data-science;geophysics;machine-learning;petrophysics;python;scikit-learn,"geophysics machine learning in:name,description,topics","relevance=87; activity=29.3; matched=carbon storage, ccs, geophysics, petrophysics",review,2026-09-04T17:04:06.421401+00:00
tarunjoshi03/seismic-imaging-toolkit,https://github.com/tarunjoshi03/seismic-imaging-toolkit,Seismic / Processing,"Open-source Python toolkit for seismic processing and imaging: semblance velocity analysis, NMO correction, stacking, and post-stack migration (Stolt f-k and Gazdag phase-shift). Validated against synthetic ground truth and ready for the Ma",Reference,62.0,84,35.6,0,0,0,Python,MIT,2026-06-16T02:27:40Z,2026-06-16T02:27:54Z,False,geophysics;marmousi;migration;nmo;python;seismic;seismic-imaging;signal-processing;subsurface-imaging;velocity-analysis,"seismic processing geophysics in:name,description,topics","relevance=84; activity=35.6; matched=geophysics, seismic, subsurface",review,2026-09-04T17:04:06.421401+00:00
piryanka1312/BP-case-study,https://github.com/piryanka1312/BP-case-study,Geoscience / Other,"Integrated geoscience and petroleum engineering evaluation of a deepwater offshore block involving seismic interpretation, petroleum system analysis, petrophysical evaluation, GIIP/STOIIP estimation, pressure and DST analysis, production fo",Reference,61.9,84,35.1,0,0,0,,,2026-06-07T17:25:59Z,2026-06-07T17:28:23Z,False,,"seismic interpretation geoscience in:name,description,topics","relevance=84; activity=35.1; matched=geoscience, petroleum, seismic",review,2026-09-04T17:04:06.421401+00:00
RichardScottOZ/mineral-exploration-machine-learning,https://github.com/RichardScottOZ/mineral-exploration-machine-learning,Seismic / Processing,"List of resources for mineral exploration and machine learning, generally with useful code and examples.",Reference,61.8,51,72.0,336,61,0,,,2022-07-26T21:34:20Z,2026-08-08T07:26:05Z,False,artificial-intelligence;copper;data;data-science;deep-learning;geochemistry;geology;geophysics;geoscience;lithology;machine-learning;mineral-exploration;minerals;modelling;nickel;nlp;prospectivity;rocks;spectral-unmixing;stratigraphy,"geophysics machine learning in:name,description,topics","relevance=51; activity=72.0; matched=geophysics, geoscience",review,2026-09-04T17:04:06.421401+00:00
NDF-Poli-USP/spyro,https://github.com/NDF-Poli-USP/spyro,Seismic / Processing,Wave propagators for seismic domains with application to full waveform inversion.,Reference,57.7,51,67.7,59,20,92,Python,LGPL-3.0,2020-12-04T14:33:44Z,2026-09-04T13:25:17Z,False,firedrake;fwi;wave-propagators,"full waveform inversion FWI seismic in:name,description,topics","relevance=51; activity=67.7; matched=fwi, seismic",review,2026-09-04T17:04:06.421401+00:00
lfrash/GeoDT,https://github.com/lfrash/GeoDT,Geothermal,Analysis tools for designing geothermal power systems in uncertain subsurface conditions,Reference,56.7,66,39.9,13,5,1,Python,NOASSERTION,2021-11-08T22:16:33Z,2025-11-22T05:37:14Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=39.9; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
raoofnaushad/UNET_SALT_DETECTION,https://github.com/raoofnaushad/UNET_SALT_DETECTION,Geoscience / Other,"Competition Overview - Source: Kaggle Several areas of Earth with large accumulations of oil and gas also have huge deposits of salt below the surface. But unfortunately, knowing where large salt deposits are precisely is very difficult. Pr",Research,56.6,84,6.3,4,0,0,Jupyter Notebook,,2021-07-14T06:40:39Z,2021-07-14T07:58:38Z,False,,"seismic interpretation geoscience in:name,description,topics;geoscience machine learning subsurface in:name,description,topics","relevance=84; activity=6.3; matched=geoscience, seismic, subsurface",review,2026-09-04T17:04:06.421401+00:00
hurairah57/UnderBalance-Drilling-Economics-Platform,https://github.com/hurairah57/UnderBalance-Drilling-Economics-Platform,Drilling / Production,"Interactive incremental economic decision platform for Underbalanced Drilling (UBD) operations in depleted, clay-sensitive reservoirs. Covers delta-CAPEX breakdown, breakeven analysis, multi-scenario ROI, sensitivity modeling, and productio",Reference,54.4,69,37.2,1,0,0,HTML,,2026-05-25T23:34:04Z,2026-05-26T09:46:02Z,False,breakeven-analysis;capex;drilling-engineering;economics;oil-gas;petroleum;petroleum-economics;petroleum-engineering;reservoir-engineering;roi;sensitivity-analysis;ubd;underbalanced-drilling,"drilling petroleum engineering in:name,description,topics","relevance=69; activity=37.2; matched=drilling, petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
aradfarahani/Seismology,https://github.com/aradfarahani/Seismology,Seismic / Processing,"This collection of scripts is designed to assist seismologists and geophysicists in their research and data analysis. Whether you’re processing seismic data, visualizing waveforms, or performing complex analyses, these tools will help strea",Reference,53.6,51,57.1,30,4,0,Jupyter Notebook,MIT,2024-08-05T20:42:11Z,2026-08-25T12:57:17Z,False,geophysics;machine-learning;seismic-data;seismology,"seismic processing geophysics in:name,description,topics","relevance=51; activity=57.1; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
Hariths-05/Well-log-evaluator,https://github.com/Hariths-05/Well-log-evaluator,Petrophysics / Data,"Interactive well log evaluation and petrophysics web application featuring multi-track visualization, Archie water saturation modeling, and reservoir cutoffs.",Reference,53.6,69,38.8,0,0,0,HTML,MIT,2026-08-14T07:15:59Z,2026-08-14T07:35:11Z,False,,"petrophysics well logs in:name,description,topics","relevance=69; activity=38.8; matched=petrophysics, reservoir, well log",review,2026-09-04T17:04:06.421401+00:00
sobhankohanpour/petroleum-engineering-puzzles,https://github.com/sobhankohanpour/petroleum-engineering-puzzles,Drilling / Production,"Engaging crossword puzzles exploring petroleum engineering topics, from drilling and production to digital oilfields and reservoir management.",Reference,52.8,69,31.6,1,0,0,,,2025-11-17T16:25:54Z,2026-02-13T16:56:26Z,False,,"drilling petroleum engineering in:name,description,topics","relevance=69; activity=31.6; matched=drilling, petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
aradfarahani/PlanetaryGeophysics,https://github.com/aradfarahani/PlanetaryGeophysics,Seismic / Processing,"PlanetaryGeophysics is a versatile project focused on analyzing and visualizing geophysical data from planets across the solar system. It includes tools for processing seismic events, topography mapping, and 3D interactive visualizations, s",Reference,52.6,51,55.2,23,4,0,HTML,MIT,2025-07-27T21:40:11Z,2026-08-10T08:32:55Z,False,,"seismic processing geophysics in:name,description,topics","relevance=51; activity=55.2; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
pcmitch/subsurface-reservoir-models,https://github.com/pcmitch/subsurface-reservoir-models,Reservoir / Simulation,Subsurface reservoir models for characterising Assisted Seismic History Matching (ASHM)  fitness landscapes.,Reference,52.1,84,0.0,0,0,0,,CC-BY-4.0,2021-01-14T12:51:05Z,2021-01-21T20:49:17Z,False,,"history matching reservoir in:name,description,topics","relevance=84; activity=0.0; matched=reservoir, seismic, subsurface",review,2026-09-04T17:04:06.421401+00:00
LucySalmonSGE/sge-webmap,https://github.com/LucySalmonSGE/sge-webmap,Geothermal,This webmap is an interactive tool designed for geothermal screening in Switzerland. It compiles surface and subsurface data.,Reference,52.1,66,39.8,0,0,0,HTML,,2026-09-02T11:43:40Z,2026-09-02T11:58:06Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=39.8; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
djb-geochem/INGRESS,https://github.com/djb-geochem/INGRESS,Geothermal,Inversion of Geothermal Reinjection Experiments for Subsurface Simulation,Reference,52.1,66,39.8,0,0,0,Python,,2025-09-30T23:04:00Z,2026-09-02T06:16:57Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=39.8; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
api-evangelist/dandelion-energy,https://github.com/api-evangelist/dandelion-energy,Geothermal,"Dandelion Energy — independent third-party profile of a public API surface, by API Evangelist. Dandelion Energy is a residential geothermal heating and cooling company that designs, engineers, and installs ground-source heat pump systems fo",Reference,52.1,66,39.8,0,0,0,,,2026-07-26T15:06:40Z,2026-09-01T20:09:42Z,False,apis-json;clean-energy;climate-tech;company;energy;frontier-tech;geothermal;heat-pumps;home-services;hvac,"geothermal subsurface in:name,description,topics","relevance=66; activity=39.8; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
Emeryne/geothermal-temperature-prediction,https://github.com/Emeryne/geothermal-temperature-prediction,Geoscience / Other,Machine learning project for predicting subsurface temperature using Python and scikit-learn based on depth.,Reference,52.0,66,39.7,0,0,0,Jupyter Notebook,,2026-08-23T15:28:29Z,2026-08-30T17:02:21Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=39.7; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
Valentine3331420/Valentine3331420,https://github.com/Valentine3331420/Valentine3331420,Drilling / Production,"Petroleum Engineer with a Master’s degree in Petroleum Engineering, with academic project experience spanning Geoscience, Drilling, Production, and Process Engineering disciplines.",Reference,51.9,69,32.4,0,0,0,,,2026-04-17T14:22:53Z,2026-04-18T08:58:14Z,False,,"drilling petroleum engineering in:name,description,topics","relevance=69; activity=32.4; matched=drilling, geoscience, petroleum",review,2026-09-04T17:04:06.421401+00:00
